farm_id,lat,lon,farm_size_ha,is_small,baseline_need
FARM_CA_001,37.7749,-122.4194,12.5,1,85000
FARM_CA_002,36.7783,-119.4179,45.0,0,210000
FARM_CA_003,34.0522,-118.2437,8.2,1,60000
FARM_CA_004,32.7157,-117.1611,25.4,0,140000
FARM_CA_005,38.5816,-121.4944,15.8,1,92000
FARM_AZ_001,33.4484,-112.0740,31.2,0,170000
FARM_AZ_002,32.2226,-110.9747,14.1,1,78000
FARM_NV_001,36.1699,-115.1398,18.7,1,99000
FARM_NM_001,35.0844,-106.6504,22.4,0,120000
FARM_TX_001,31.9686,-99.9018,55.0,0,260000
FARM_TX_002,29.7604,-95.3698,17.5,1,110000
FARM_TX_003,32.7767,-96.7970,20.0,1,100000
FARM_OK_001,35.4676,-97.5164,33.1,0,160000
FARM_KS_001,38.5000,-98.0000,48.2,0,220000
FARM_NE_001,41.4925,-99.9018,42.8,0,205000
FARM_CO_001,39.7392,-104.9903,19.3,1,98000
FARM_WY_001,43.0760,-107.2903,28.5,0,130000
FARM_MT_001,46.8797,-110.3626,36.0,0,175000
FARM_ND_001,47.5515,-101.0020,50.3,0,240000
FARM_SD_001,43.9695,-99.9018,37.4,0,180000
FARM_MN_001,46.7296,-94.6859,29.8,0,150000
FARM_IA_001,41.8780,-93.0977,44.5,0,215000
FARM_MO_001,37.9643,-91.8318,27.2,1,125000
FARM_AR_001,35.2010,-91.8318,24.0,1,118000
FARM_LA_001,30.9843,-91.9623,16.9,1,95000
FARM_MS_001,32.3547,-89.3985,21.1,1,112000
FARM_AL_001,32.3182,-86.9023,18.3,1,101000
FARM_GA_001,32.1656,-82.9001,23.5,1,116000
FARM_FL_001,27.6648,-81.5158,14.7,1,89000
FARM_SC_001,33.8361,-81.1637,19.0,1,102000
FARM_NC_001,35.7596,-79.0193,26.4,1,122000
FARM_TN_001,35.5175,-86.5804,24.6,1,119000
FARM_KY_001,37.8393,-84.2700,25.8,1,121000
FARM_IL_001,40.6331,-89.3985,41.9,0,200000
FARM_IN_001,40.2672,-86.1349,34.7,0,168000
FARM_OH_001,40.4173,-82.9071,32.2,0,162000
FARM_MI_001,44.3148,-85.6024,21.7,1,108000
FARM_WI_001,43.7844,-88.7879,28.9,0,145000
FARM_PA_001,41.2033,-77.1945,20.5,1,104000
FARM_NY_001,42.9543,-75.5268,22.8,1,115000
